SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-Staff,00:a2:89:03:3a:20,-81,1,Y,TH,NONE,203.45900178253112,163.53208556149733
.@AISSUPERWiFi,00:7e:95:c5:3b:06,-64,11,Y,TH,NONE,203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c5:3b:07,-64,11,Y,TH,NONE,203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c9:f9:07,-65,11,Y,TH,NONE,203.45900178253112,163.53208556149733
.@TRUEWIFI,00:7e:95:c5:3b:05,-64,11,Y,TH,NONE,203.45900178253112,163.53208556149733
CPE-WiFi,70:f3:5a:55:a7:c1,-80,11,Y,TH,NONE,203.45900178253112,163.53208556149733
.@AISSUPERWiFi,00:7e:95:c9:f9:06,-63,11,Y,TH,NONE,203.45900178253112,163.53208556149733
.@TRUEWIFI,00:7e:95:c9:f9:05,-63,11,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:c5:3b:03,-63,11,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus,00:7e:95:c5:3b:00,-64,11,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
POCOX3NFC,76:b9:97:01:0e:c4,-74,7,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
.@TRUEWIFI,00:7e:95:cb:a8:85,-70,6,Y,TH,NONE,203.45900178253112,163.53208556149733
CPE-WiFi,00:a2:89:03:36:e1,-77,6,Y,TH,NONE,203.45900178253112,163.53208556149733
CPE-Staff,00:a2:89:03:36:e0,-80,6,Y,TH,NONE,203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:cb:a8:87,-71,6,Y,TH,NONE,203.45900178253112,163.53208556149733
.@AISSUPERWiFi,00:7e:95:cb:a8:86,-72,6,Y,TH,NONE,203.45900178253112,163.53208556149733
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-Staff,00:a2:89:03:36:e0,-80,6,Y,TH,NONE,435.54456327985736,171.01871657754012
CPE-WiFi,00:a2:89:03:36:e1,-77,6,Y,TH,NONE,435.54456327985736,171.01871657754012
CPE-WiFi,70:f3:5a:55:a7:c1,-80,11,Y,TH,NONE,435.54456327985736,171.01871657754012
CPE-Staff,00:a2:89:03:3a:2f,-87,132,Y,TH,NONE,435.54456327985736,171.01871657754012
CPE-WiFi,00:a2:89:03:3a:2e,-88,132,Y,TH,NONE,435.54456327985736,171.01871657754012
.@TrueMoveH,04:5f:b9:e5:ce:47,-88,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@JumboPlusIoT,04:5f:b9:e5:ce:4c,-88,104,Y,TH,RSN(PSK/AES/AES),435.54456327985736,171.01871657754012
eduroam,04:5f:b9:e5:ce:4d,-86,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
AISSMARTLogin,00:b6:70:59:9f:06,-70,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
.@TrueMoveH,00:b6:70:59:9f:07,-71,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@TOT_Wi-Fi,00:b6:70:59:9f:08,-70,104,Y,TH,NONE,435.54456327985736,171.01871657754012
@JumboPlusIoT,00:b6:70:59:9f:0c,-70,104,Y,TH,RSN(PSK/AES/AES),435.54456327985736,171.01871657754012
eduroam,00:b6:70:59:9f:0d,-70,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@JumboPlus5GHz,00:b6:70:59:9f:0e,-70,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@JumboPlus5GHz,04:5f:b9:e5:ce:4e,-87,104,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@TOT_Wi-Fi,04:5f:b9:e5:ce:48,-88,104,Y,TH,NONE,435.54456327985736,171.01871657754012
@JumboPlus5GHz,00:7e:95:c5:34:ce,-83,100,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
eduroam,00:7e:95:c5:34:cd,-84,100,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
@JumboPlusIoT,00:7e:95:c5:34:cc,-84,100,Y,TH,RSN(PSK/AES/AES),435.54456327985736,171.01871657754012
@TOT_Wi-Fi,00:7e:95:c5:34:c8,-84,100,Y,TH,NONE,435.54456327985736,171.01871657754012
.@TrueMoveH,00:7e:95:c5:34:c7,-83,100,Y,TH,RSN(802.1x/AES/AES),435.54456327985736,171.01871657754012
