SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlus5GHz,00:b6:70:59:5c:ee,-67,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
eduroam,04:5f:b9:e5:ac:ed,-84,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlus5GHz,00:7e:95:c7:ec:6e,-47,"136,-1",Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:c9:f5:ae,-79,"136,-1",Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:c9:f5:ad,-79,"136,-1",Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:c9:f5:ac,-78,"136,-1",Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:c9:f5:a8,-78,"136,-1",Y,TH,NONE,1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:c9:f5:a7,-77,"136,-1",Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:c9:f5:a6,-77,"136,-1",Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
CPE-Staff,00:b0:e1:98:f2:2f,-82,132,Y,TH,NONE,1557.24485560102,807.9023008954514
CPE-WiFi,00:b0:e1:98:f2:2e,-82,132,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlus5GHz,04:5f:b9:e5:ce:4e,-57,120,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
eduroam,04:5f:b9:e5:ce:4d,-57,120,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlusIoT,04:5f:b9:e5:ce:4c,-57,120,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,04:5f:b9:e5:ce:48,-57,120,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TrueMoveH,04:5f:b9:e5:ce:47,-57,120,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,04:5f:b9:e5:ce:46,-56,120,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
CPE-Staff,00:a2:89:03:3a:2f,-68,116,Y,TH,NONE,1557.24485560102,807.9023008954514
CPE-WiFi,00:a2:89:03:3a:2e,-69,116,Y,TH,NONE,1557.24485560102,807.9023008954514
ubiquitous1,00:1a:70:34:72:e1,-68,11,N,--,WPA(PSK/TKIP/TKIP),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,04:5f:b9:e5:ce:47,-61,11,Y,TH,NONE,1557.24485560102,807.9023008954514
.@AISSUPERWiFi,04:5f:b9:e5:ce:46,-68,11,Y,TH,NONE,1557.24485560102,807.9023008954514
.@AISSUPERWiFi,04:5f:b9:e5:da:26,-68,11,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TRUEWIFI,04:5f:b9:e5:ce:45,-67,11,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,04:5f:b9:e5:ce:43,-66,11,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus,00:b6:70:5e:8e:60,-64,11,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@AISSUPERWiFi,00:b6:70:5e:8e:66,-65,11,Y,TH,NONE,1557.24485560102,807.9023008954514
521A-dE8AxJGngP1AK4k,9c:ae:d3:43:1a:99,-58,11,Y,--,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
ESP-79F191,2e:f4:32:79:f1:91,-72,6,N,TH,NONE,1557.24485560102,807.9023008954514
CPE-WiFi,00:a2:89:03:36:e1,-55,6,Y,TH,NONE,1557.24485560102,807.9023008954514
CPE-Staff,00:a2:89:03:36:e0,-58,6,Y,TH,NONE,1557.24485560102,807.9023008954514
ESP-7A4717,2e:f4:32:7a:47:17,-61,6,N,TH,NONE,1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:cb:a8:87,-63,1,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TRUEWIFI,00:7e:95:cb:a8:85,-63,1,Y,TH,NONE,1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:c7:ec:67,-60,1,Y,TH,NONE,1557.24485560102,807.9023008954514
.@AISSUPERWiFi,00:7e:95:c7:ec:66,-58,1,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TRUEWIFI,00:7e:95:c7:ec:65,-59,1,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:c7:ec:63,-59,1,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus,00:7e:95:c7:ec:60,-61,1,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TRUEWIFI,00:7e:95:cb:38:85,-64,1,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:cb:38:83,-63,1,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus,00:7e:95:cb:38:80,-63,1,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
DIRECT-CKJIKISHEREmsVU,92:30:49:0f:e2:c9,-57,1,Y,--,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:c5:46:46,-81,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:c5:46:47,-81,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:c5:46:48,-82,104,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:c5:46:4c,-81,104,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:c5:46:4d,-82,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:c5:46:4e,-82,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
