SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@TOT_Wi-Fi,00:b6:70:59:95:67,-66,11,Y,TH,NONE,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:b6:70:59:95:66,-66,11,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TRUEWIFI,00:b6:70:59:95:65,-66,11,Y,TH,NONE,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,04:5f:b9:e5:1f:a7,-63,11,Y,TH,NONE,133.58377896613183,588.8475935828877
4G-CPE-033621,60:c5:a8:e0:cd:a3,-72,"11,-1",Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
.@TRUEWIFI,04:5f:b9:e5:1f:a5,-63,11,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:b6:70:59:95:63,-64,11,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus,00:b6:70:59:95:60,-66,11,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,04:5f:b9:e5:1f:a3,-63,11,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus,04:5f:b9:e5:1f:a0,-63,11,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
133.58377896613183,588.8475935828877
1,IBSS,network,found:,133.58377896613183,588.8475935828877
SSIDBSSID,RSSI,CHANNEL,HT,CC,SECURITY,(auth/unicast/group),133.58377896613183,588.8475935828877
SETUP,02:11:87:d2:df:25,-76,11,N,--,NONE,133.58377896613183,588.8475935828877
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:c9:c5:a6,-82,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
