SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlusIoT,00:7e:95:c5:2f:8c,-74,100,Y,TH,RSN(PSK/AES/AES),58.717468805704016,32.34135472370781
eduroam,00:7e:95:c5:2f:8d,-75,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
AISSMARTLogin,00:7e:95:cb:77:c6,-53,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
.@TrueMoveH,00:7e:95:cb:77:c7,-53,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:77:c8,-53,100,Y,TH,NONE,58.717468805704016,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:77:cc,-53,100,Y,TH,RSN(PSK/AES/AES),58.717468805704016,32.34135472370781
eduroam,00:7e:95:cb:77:cd,-53,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
@JumboPlus5GHz,00:7e:95:cb:77:ce,-53,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
.@TrueMoveH,00:7e:95:c7:ec:67,-70,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
@JumboPlus5GHz,00:7e:95:c5:06:6e,-86,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
eduroam,00:7e:95:c5:06:6d,-85,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
@JumboPlusIoT,00:7e:95:c5:06:6c,-85,100,Y,TH,RSN(PSK/AES/AES),58.717468805704016,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c5:06:68,-85,100,Y,TH,NONE,58.717468805704016,32.34135472370781
.@TrueMoveH,00:7e:95:c5:06:67,-85,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
AISSMARTLogin,00:7e:95:c5:06:66,-84,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
AISSMARTLogin,00:7e:95:cb:64:86,-84,64,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
.@TrueMoveH,00:7e:95:cb:64:87,-85,64,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:64:88,-85,64,Y,TH,NONE,58.717468805704016,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:64:8c,-84,64,Y,TH,RSN(PSK/AES/AES),58.717468805704016,32.34135472370781
